epoch,loss,lr,val_loss
0,0.00014898032532073557,1e-04,0.00015000402345322073
1,0.0001475622848374769,1e-04,0.00014814056339673698
2,0.00014845219266135246,1e-04,0.00014993161312304437
3,0.00014812125300522894,1e-04,0.00014896703942213207
4,0.00014516134979203343,1e-04,0.00015009395428933203
5,0.00014852330787107348,1e-04,0.00014942861162126064
6,0.00014417359489016235,1e-04,0.00014728351379744709
7,0.0001313741522608325,5e-05,0.00015249603893607855
8,0.00012566140503622591,5e-05,0.000139890456921421
9,0.00011989691120106727,5e-05,0.00013809115625917912
10,0.00011788824485847726,5e-05,0.00013568812573794276
11,0.00011599858407862484,5e-05,0.00013604365813080221
12,0.00011607087799347937,5e-05,0.00013406711514107883
13,0.00011405896657379344,5e-05,0.00013373084948398173
14,0.00011211636592634022,5e-05,0.00013534697063732892
15,0.00011213214020244777,5e-05,0.0001319773291470483
16,0.00010897005995502695,5e-05,0.000126433398691006
17,0.0001070258003892377,5e-05,0.0001232809154316783
18,0.00010088415729114786,5e-05,0.0001184128486784175
19,9.282764949603006e-05,5e-05,0.00010982163075823337
20,8.108317706501111e-05,5e-05,9.748902812134475e-05
21,7.408601231873035e-05,5e-05,9.068647341337055e-05
22,6.980678881518543e-05,5e-05,8.531488856533542e-05
23,6.701560050714761e-05,5e-05,8.290681580547243e-05
24,6.492191459983587e-05,5e-05,8.530850755050778e-05
25,6.238079367903993e-05,5e-05,7.704909512540326e-05
26,6.08404770900961e-05,5e-05,7.741925946902484e-05
27,5.857984069734812e-05,5e-05,7.175838254624978e-05
28,5.39983666385524e-05,5e-05,6.595383456442505e-05
29,4.728954809252173e-05,5e-05,6.362286512739956e-05
30,4.1041039366973564e-05,5e-05,6.753743218723685e-05
31,3.8910417060833424e-05,5e-05,6.142516940599307e-05
32,3.671872036647983e-05,5e-05,6.24150998191908e-05
33,3.525399006321095e-05,5e-05,6.415457755792886e-05
34,3.311857290100306e-05,5e-05,5.2010262152180076e-05
35,3.398456465220079e-05,5e-05,4.852518759435043e-05
36,2.9909775548730977e-05,5e-05,5.664476702804677e-05
37,2.9262761017889716e-05,5e-05,5.109414996695705e-05
38,2.8504762667580508e-05,5e-05,5.405101546784863e-05
39,2.733072506089229e-05,5e-05,5.456201688502915e-05
40,2.665401916601695e-05,5e-05,4.589675154420547e-05
41,2.6890607841778547e-05,5e-05,5.383925235946663e-05
42,2.545760253269691e-05,5e-05,5.3953961469233036e-05
43,2.5878183805616572e-05,5e-05,5.016121576773003e-05
44,2.5301862478954718e-05,5e-05,4.493555024964735e-05
45,2.4256929464172572e-05,5e-05,5.6083321396727115e-05
46,2.278365718666464e-05,2.5e-05,5.169086580281146e-05
47,2.193661202909425e-05,2.5e-05,4.171183172729798e-05
48,2.1877371182199568e-05,2.5e-05,4.5901826524641365e-05
49,2.1225272575975396e-05,2.5e-05,5.012188194086775e-05
50,2.040521394519601e-05,2.5e-05,4.861110937781632e-05
51,2.1062427549622953e-05,2.5e-05,4.3360945710446686e-05
52,2.0204810425639153e-05,2.5e-05,4.898972110822797e-05
53,1.928843994392082e-05,1.25e-05,4.476640242501162e-05
54,1.9542116206139326e-05,1.25e-05,4.866175731876865e-05
55,1.944543510035146e-05,1.25e-05,4.723497113445774e-05
56,1.8761980754788965e-05,1.25e-05,5.0007121899398044e-05
57,1.9077715478488244e-05,1.25e-05,4.701550642494112e-05
58,1.8808692402672023e-05,1.25e-05,4.746064587379806e-05
59,1.8992252080352046e-05,1.25e-05,4.03209232899826e-05
60,1.8334445485379547e-05,1.25e-05,4.521424853010103e-05
61,1.9056647943216376e-05,1.25e-05,4.02571058657486e-05
62,1.846105806180276e-05,1.25e-05,4.3095344153698534e-05
63,1.8409982658340596e-05,1.25e-05,3.913827094947919e-05
64,1.845109545683954e-05,1.25e-05,4.76386230729986e-05
65,1.8375447325524874e-05,1.25e-05,4.603725756169297e-05
66,1.8272437955602072e-05,1.25e-05,4.806073775398545e-05
67,1.8317326976102777e-05,1.25e-05,4.413783608470112e-05
68,1.8158454622607678e-05,1.25e-05,4.475438254303299e-05
69,1.74389460880775e-05,6.25e-06,4.370203168946318e-05
70,1.8035629182122648e-05,6.25e-06,4.64929617010057e-05
71,1.747293572407216e-05,6.25e-06,4.3827556510223076e-05
72,1.7460222807130776e-05,6.25e-06,4.3240772356512025e-05
73,1.760167106112931e-05,6.25e-06,4.454336885828525e-05
74,1.721873377391603e-05,6.25e-06,4.7106881538638845e-05
75,1.7396703697158955e-05,6.25e-06,4.6402376028709114e-05
76,1.7163616575999185e-05,3.125e-06,4.195062138023786e-05
77,1.724663525237702e-05,3.125e-06,4.584198904922232e-05
78,1.7307202142546885e-05,3.125e-06,5.035891808802262e-05
79,1.713906203804072e-05,3.125e-06,4.748408537125215e-05
80,1.745722875057254e-05,3.125e-06,4.773276668856852e-05
81,1.6898868125281297e-05,3.125e-06,4.608273593476042e-05
82,1.7148062397609465e-05,3.125e-06,4.968593566445634e-05
83,1.727364542603027e-05,1.5625e-06,4.851789344684221e-05
