epoch,loss,lr,val_loss
0,9.859375859377906e-05,1e-04,0.00014649593504145741
1,6.421093712560833e-05,1e-04,0.0001774192787706852
2,4.9754198698792607e-05,1e-04,0.0001395055587636307
3,3.984251816291362e-05,1e-04,0.00015412515494972467
4,2.538578337407671e-05,1e-04,0.00013133954780641943
5,1.2972532204003073e-05,1e-04,0.00014260035823099315
6,5.821180366183398e-06,1e-04,0.00014946894953027368
7,3.914562967111124e-06,1e-04,0.0001335481647402048
8,3.001080131070921e-06,1e-04,0.00014602283772546798
9,1.948537601492717e-06,1e-04,0.00013467698590829968
10,1.437520495528588e-06,5e-05,0.0001268161431653425
11,1.21754749216052e-06,5e-05,0.0001386176300002262
12,1.0989232350766542e-06,5e-05,0.00013787306670565158
13,1.002139811134839e-06,5e-05,0.00013428185775410384
14,9.503572186986275e-07,5e-05,0.00013730429054703563
15,9.208435471919074e-07,5e-05,0.00013741730072069913
16,8.239965154643869e-07,5e-05,0.0001336140849161893
17,7.45494560305815e-07,2.5e-05,0.00013428668898995966
18,7.035478688521835e-07,2.5e-05,0.00013685438898392022
19,6.924937565599976e-07,2.5e-05,0.00013197853695601225
20,7.038586318230955e-07,2.5e-05,0.00013140906230546534
21,6.621755233027216e-07,2.5e-05,0.00013459936599247158
22,6.546795248141279e-07,2.5e-05,0.0001295760303037241
23,6.264705803005199e-07,2.5e-05,0.0001333297841483727
24,6.112637720434577e-07,1.25e-05,0.00013354011753108352
25,6.031099815118068e-07,1.25e-05,0.0001380628382321447
26,6.044259635018534e-07,1.25e-05,0.00014201723388396204
27,5.761390298175684e-07,1.25e-05,0.00013217804371379316
28,5.755591701017693e-07,1.25e-05,0.0001289956853725016
29,5.934172122579184e-07,1.25e-05,0.00013074213347863406
30,5.749847105107619e-07,1.25e-05,0.00013698087423108518
