epoch,ankle_left,ankle_right,elbow_left,elbow_right,head,hip_left,hip_right,knee_left,knee_right,loss,lr,neck,shoulder_left,shoulder_right,val_ankle_left,val_ankle_right,val_elbow_left,val_elbow_right,val_head,val_hip_left,val_hip_right,val_knee_left,val_knee_right,val_loss,val_neck,val_shoulder_left,val_shoulder_right,val_wrist_left,val_wrist_right,wrist_left,wrist_right
0,0.0005490297335200012,0.0005493619828484952,0.0024836568627506495,0.0025507123209536076,0.0031214780174195766,0.002542572794482112,0.0030198879539966583,0.0008475490030832589,0.0011241370812058449,0.002172325737774372,1e-04,0.0030783384572714567,0.0026781056076288223,0.003014793386682868,0.001011691871099174,0.00094981660367921,0.002570296172052622,0.0028693187050521374,0.0025203339755535126,0.002722932258620858,0.002467535436153412,0.003256474155932665,0.00326933478936553,0.0025104773230850697,0.0024268687702715397,0.002341943560168147,0.002290546428412199,0.0032500133384019136,0.003199577098712325,0.0023156325332820415,0.0025373054668307304
1,0.0005664731143042445,0.0005522215506061912,0.0017900392413139343,0.002013724995777011,0.0023169878404587507,0.0015975621063262224,0.0019527168478816748,0.0008282118360511959,0.0011127801844850183,0.0016263867728412151,1e-04,0.002004902809858322,0.0017817222978919744,0.0021486738696694374,0.0011189582291990519,0.0011160193243995309,0.0013761658919975162,0.0020512982737272978,0.0018128895899280906,0.0008052532793954015,0.0006414984236471355,0.0030778422951698303,0.00305246957577765,0.001599098788574338,0.000927499495446682,0.0009371052146889269,0.00126170483417809,0.0020753114949911833,0.0021333680488169193,0.0019192134495824575,0.0021841800771653652
2,0.0005357891204766929,0.0005432399339042604,0.0008375358302146196,0.0011673375265672803,0.0012530547101050615,0.0006460577715188265,0.000943782099056989,0.0006474617985077202,0.0009519569575786591,0.0009217626648023725,1e-04,0.000935557356569916,0.0009809681214392185,0.0012218201300129294,0.0010511891450732946,0.001059998758137226,0.0006549770478159189,0.0013021952472627163,0.000945764419157058,0.000466871599201113,0.0008197530987672508,0.002048388822004199,0.0021307189017534256,0.001157271210104227,0.0011966247111558914,0.0006241907831281424,0.0014194039395079017,0.0011243693297728896,0.001357350149191916,0.0009917350253090262,0.0012483797036111355
3,0.0004081775259692222,0.00040782021824270487,0.00044655860983766615,0.0006642144871875644,0.0006638024933636189,0.0003658290661405772,0.0004767290665768087,0.00031783906160853803,0.0006554101128131151,0.0005310576525516808,1e-04,0.0005042363773100078,0.0006102882907725871,0.0007019795593805611,0.0009589519468136132,0.0009694101172499359,0.00039169820956885815,0.000986310769803822,0.0008994980598799884,0.00040760470437817276,0.0005024216952733696,0.0006733887712471187,0.000805147341452539,0.0007663305150344968,0.0007441542111337185,0.0004246569878887385,0.0015031996881589293,0.000821809284389019,0.0006403753068298101,0.0005011326866224408,0.0007107916171662509
4,0.0002277639287058264,0.00023343104112427682,0.00025690742768347263,0.00033934367820620537,0.0003108507371507585,0.00022125062241684645,0.00024510189541615546,0.0001449978444725275,0.0004489380808081478,0.0002907227899413556,1e-04,0.00025300547713413835,0.00030760790104977787,0.0003657866327557713,0.0006344019202515483,0.0006029392825439572,0.00019072329450864345,0.0004475739842746407,0.0005274710129015148,0.00016267602040898055,0.00045235143625177443,0.0004431527340784669,0.00038195206434465945,0.0004390993562992662,0.0003587979299481958,0.00024983304319903255,0.0009921879973262548,0.000372865644749254,0.00033046488533727825,0.00028071310953237116,0.0004344208864495158
5,0.00013728189514949918,0.00014353134611155838,0.00016464483633171767,0.0002445200807414949,0.0002115524694090709,0.00013778984430246055,0.00016953186423052102,8.42477529658936e-05,0.00033297130721621215,0.00019488661200739443,1e-04,0.00018181475752498955,0.00020743107597809285,0.00024596182629466057,0.00044185665319673717,0.00039192571421153843,0.00023058154329191893,0.000714864581823349,0.00023192870139610022,9.563694038661197e-05,0.00028566710534505546,0.0002416914503555745,0.0003022900491487235,0.00030767606222070754,0.00018785265274345875,0.00016261149721685797,0.0005514715448953211,0.00018444188754074275,0.00028464460046961904,0.00017682423640508205,0.00029031001031398773
6,9.784598660189658e-05,0.00010166173888137564,0.00013504682283382863,0.0001854326983448118,0.00015277208876796067,0.00010718242992879823,0.00013641857367474586,5.480532854562625e-05,0.00022177778009790927,0.0001412232086295262,1e-04,0.00014010800805408508,0.00014999270206317306,0.0001858650939539075,0.0003726877039298415,0.0002997787087224424,6.443736492656171e-05,0.00032254011603072286,0.00013903195213060826,7.50642066122964e-05,0.00030763939139433205,0.00019922495994251221,0.0001930333091877401,0.00021793253836221993,0.00014116625243332237,8.492192137055099e-05,0.0004257118562236428,0.00014753361756447703,0.00027828410384245217,0.00012745321146212518,0.00018076201376970857
7,8.656175486976281e-05,8.671704563312232e-05,0.00010218538227491081,0.0001426178205292672,0.00011416913184802979,9.4608411018271e-05,0.00011636260023806244,5.1029106543865055e-05,0.00018591676780488342,0.00011548835027497262,1e-04,0.00010289534839102998,0.00014402109081856906,0.0001454818993806839,0.00031300465343520045,0.00028479075990617275,8.208199142245576e-05,0.0005194262485019863,0.00012738269288092852,7.057397306198254e-05,0.0002544851740822196,0.00016920104098971933,0.0002386752312304452,0.0002295793528901413,0.00015861874271649867,8.471038745483384e-05,0.00047424883814528584,0.00014400605869013816,0.0002929051115643233,0.00011434552288847044,0.00012992453412152827
8,5.992006481392309e-05,6.515233690151945e-05,7.03471596352756e-05,0.00011094220099039376,7.986662967596203e-05,6.677591591142118e-05,8.24637318146415e-05,4.613319833879359e-05,0.00014577293768525124,8.563831215724349e-05,1e-04,7.802699110470712e-05,0.0001006231686915271,9.548065281705931e-05,0.00018327869474887848,0.00018336277571506798,6.061205567675643e-05,0.0004020291962660849,0.00014641576854046434,6.791256600990891e-05,0.0002972033980768174,9.052433597389609e-05,0.00011502662528073415,0.00018337440269533545,0.00013357246643863618,4.916201578453183e-05,0.0005360697978176177,8.911296754376963e-05,0.00021295891201589257,9.549679816700518e-05,0.00010193428170168772
9,4.6668101276736706e-05,4.8874841013457626e-05,5.437632353277877e-05,9.654210589360446e-05,6.289191514952108e-05,5.185469854041003e-05,7.468194962712005e-05,2.757981746981386e-05,0.00010018643661169335,6.508961087092757e-05,1e-04,5.6776407291181386e-05,7.401507173199207e-05,7.329271466005594e-05,0.00017076275253202766,0.0001386502553941682,3.8321592001011595e-05,0.000388680724427104,0.00012592181155923754,0.0001001319833449088,0.00025608279975131154,8.590238576289266e-05,0.00011470899335108697,0.00016357041022274643,0.00010405709326732904,4.59366237919312e-05,0.0004484629607759416,8.87759670149535e-05,0.00018358969828113914,6.786821177229285e-05,7.564630504930392e-05
