epoch,loss,lr,val_loss
0,0.00014975943486206234,1e-04,0.00015024596359580755
1,0.00014881257084198296,1e-04,0.00014997688413131982
2,0.00014791976718697697,1e-04,0.0001503302773926407
3,0.00014644110342487693,1e-04,0.00015036229160614312
4,0.00014975137310102582,1e-04,0.00015031345537863672
5,0.0001492483715992421,1e-04,0.00015048494969960302
6,0.00014652822574134916,5e-05,0.0001497068296885118
7,0.00013775071420241147,5e-05,0.00013921067875344306
8,0.0001226553285960108,5e-05,0.00013417252921499312
9,0.00010940628999378532,5e-05,0.000138514005811885
10,9.889201464829966e-05,5e-05,0.00014656288840342313
11,9.093271364690736e-05,5e-05,0.0001435035082977265
12,8.675416029291227e-05,5e-05,0.00014265053323470056
13,8.560870628571138e-05,5e-05,0.00014470120368059725
14,7.836969598429278e-05,2.5e-05,0.00014393017045222223
15,7.460817869286984e-05,2.5e-05,0.00014800523058511317
16,6.906592170707881e-05,2.5e-05,0.00014689256204292178
17,5.890899774385616e-05,2.5e-05,0.00014949447358958423
18,4.469170744414441e-05,2.5e-05,0.00014899668167345226
19,3.7858419091207907e-05,2.5e-05,0.00014546826423611492
20,3.390555139048956e-05,2.5e-05,0.0001490196882514283
21,2.8968534024897963e-05,1.25e-05,0.00014691241085529327
22,2.8801307053072378e-05,1.25e-05,0.0001511511072749272
23,2.797278284560889e-05,1.25e-05,0.00014473982446361333
24,2.7274390959064476e-05,1.25e-05,0.0001494778844062239
25,2.5497160095255822e-05,1.25e-05,0.00014845725672785193
26,2.567493538663257e-05,1.25e-05,0.0001454743032809347
27,2.5735793315107003e-05,1.25e-05,0.0001467114343540743
28,2.4229835617006756e-05,6.25e-06,0.00014752907736692578
