epoch,loss,lr,val_loss
0,0.00015001161955296993,1e-04,0.0001503188832430169
1,0.00014910512254573405,1e-04,0.00015010857896413654
2,0.00014585811004508287,1e-04,0.00014978113176766783
3,0.00013838362065143883,1e-04,0.00014535195077769458
4,0.00012752486509270966,1e-04,0.00014200009172782302
5,0.00011988773621851578,1e-04,0.00013743706222157925
6,0.0001116313724196516,1e-04,0.00013441494957078248
7,0.00010206926526734605,1e-04,0.0001266390027012676
8,9.698876965558156e-05,1e-04,0.00012155460717622191
9,9.237824997399002e-05,1e-04,0.00012712966417893767
