epoch,loss,lr,val_loss
0,0.00029849016573280096,1e-04,0.0002841948298737407
1,0.0002895993529818952,1e-04,0.0002737153263296932
2,0.00028395839035511017,1e-04,0.0002941141719929874
3,0.0002775972825475037,1e-04,0.00020586969912983477
4,0.0001561852841405198,1e-04,0.00014226636267267168
5,8.023450209293514e-05,1e-04,0.00017215765547007322
6,5.266985681373626e-05,1e-04,0.00019022609922103584
7,3.3814332709880546e-05,1e-04,0.0002224727941211313
8,2.346722612855956e-05,1e-04,0.00022108384291641414
9,7.464464943041094e-06,1e-04,0.00021963947801850736
10,3.232924882468069e-06,5e-05,0.00024358330119866878
11,2.323599574083346e-06,5e-05,0.00021922800806351006
12,1.9588298982853303e-06,5e-05,0.0002336437173653394
13,1.8323985386814456e-06,5e-05,0.00023654429242014885
14,1.6120360442073434e-06,5e-05,0.00023578880063723773
15,1.46836885051016e-06,5e-05,0.00023327670351136476
16,1.4732315776200267e-06,5e-05,0.00024508184287697077
17,1.2160488722656737e-06,2.5e-05,0.00024930332438088953
18,1.1024034165529883e-06,2.5e-05,0.0002335855970159173
19,1.1103795714006992e-06,2.5e-05,0.00023989049077499658
20,1.069787344931683e-06,2.5e-05,0.00024056163965724409
21,1.013852624964784e-06,2.5e-05,0.0002342957304790616
22,9.88702026916144e-07,2.5e-05,0.00023420617799274623
23,9.86049599305261e-07,2.5e-05,0.00022924943186808378
24,9.229425472767616e-07,1.25e-05,0.00023624624009244144
