epoch,loss,lr,val_loss
0,0.00014973626821301877,1e-04,0.00014944752911105752
1,0.00014796355389989913,1e-04,0.00014820616343058646
2,0.00014651181118097156,1e-04,0.00014972598000895232
3,0.00014536028902512044,1e-04,0.0001478107733419165
4,0.00012722465908154845,1e-04,0.0001238151453435421
5,0.0001107512871385552,1e-04,0.00010496550385141745
6,9.766474977368489e-05,1e-04,9.811446943785995e-05
7,8.987159526441246e-05,1e-04,9.247665002476424e-05
8,7.661552808713168e-05,1e-04,0.00010221562115475535
9,6.0643280448857695e-05,1e-04,9.118273737840354e-05
10,4.884221198153682e-05,1e-04,8.528760372428223e-05
11,3.768631358980201e-05,1e-04,6.770186882931739e-05
12,2.9624758099089377e-05,1e-04,6.352903437800705e-05
13,2.4955375920399092e-05,1e-04,6.80251105222851e-05
14,2.3258828150574118e-05,1e-04,6.192680302774534e-05
15,2.1334421035135165e-05,1e-04,6.215833855094388e-05
16,2.013876655837521e-05,1e-04,5.125813913764432e-05
17,1.9746930774999782e-05,1e-04,5.718493048334494e-05
18,1.8259712305734865e-05,1e-04,5.504890577867627e-05
19,1.7770431441022083e-05,1e-04,5.6560103985248134e-05
20,1.7766204109648243e-05,1e-04,5.46686424058862e-05
21,1.666754724283237e-05,1e-04,5.5012751545291394e-05
22,1.4365812603500672e-05,5e-05,6.261067755986005e-05
23,1.3791967830911744e-05,5e-05,5.552917718887329e-05
24,1.327061909250915e-05,5e-05,5.6795332056935877e-05
25,1.2084889021934941e-05,5e-05,5.811871960759163e-05
26,1.1148580597364344e-05,5e-05,5.7344317610841244e-05
27,9.947613762051333e-06,5e-05,5.781645450042561e-05
28,9.16372209758265e-06,5e-05,5.7599274441599846e-05
29,8.0302452261094e-06,2.5e-05,5.747683462686837e-05
30,8.209164661820978e-06,2.5e-05,5.626104393741116e-05
31,7.996226486284286e-06,2.5e-05,5.845511259394698e-05
32,8.151972906489391e-06,2.5e-05,5.836936179548502e-05
33,7.938695489428937e-06,2.5e-05,5.79164843657054e-05
34,7.853711395000573e-06,2.5e-05,5.866548599442467e-05
35,7.918994924693834e-06,2.5e-05,5.557210533879697e-05
