epoch,head,loss,lr,mid_bot,mid_top,tail,val_head,val_loss,val_mid_bot,val_mid_top,val_tail
0,0.002696099691092968,0.0023413472808897495,1e-04,0.0026096422225236893,0.0025748596526682377,0.0014847881393507123,0.002615235513076186,0.002089685294777155,0.002345614368095994,0.002256185980513692,0.001141704386100173
1,0.0024950229562819004,0.002258418360725045,1e-04,0.002534087048843503,0.0025220306124538183,0.0014825330581516027,0.0025409087538719177,0.0020760062616318464,0.0023243094328790903,0.0022360540460795164,0.0012027526972815394
2,0.0021707462146878242,0.0021284082904458046,1e-04,0.0024428251199424267,0.002423447323963046,0.0014766160165891051,0.002091810340061784,0.0018855432281270623,0.002139278221875429,0.002182653872296214,0.0011284307111054659
3,0.0018981777830049396,0.002016064478084445,1e-04,0.0023506528232246637,0.0023666133638471365,0.0014488176675513387,0.002123449929058552,0.0019439610186964273,0.0021206135861575603,0.0023477370850741863,0.0011840437073260546
4,0.001509518246166408,0.0018215359887108207,1e-04,0.0021771409083157778,0.0021741127129644156,0.0014253704575821757,0.0021866594906896353,0.0020060655660927296,0.0020415077451616526,0.0024711627047508955,0.0013249332550913095
5,0.0011132211657240987,0.0016048080287873745,1e-04,0.0018972057150676847,0.0020521795377135277,0.0013566254638135433,0.001980420434847474,0.001893065869808197,0.0018022749572992325,0.0023766306694597006,0.00141293799970299
6,0.000858436047565192,0.0013635547365993261,1e-04,0.0016363062895834446,0.0017131177010014653,0.0012463581515476108,0.0020173045340925455,0.0018241479992866516,0.002149837790057063,0.001913559390231967,0.0012158899335190654
7,0.0006948122172616422,0.0010584620758891106,1e-04,0.0011161626316606998,0.0014069463359192014,0.0010159272933378816,0.0022021951153874397,0.0017680581659078598,0.0017411033622920513,0.002068073721602559,0.0010608601151034236
8,0.0005648372462019324,0.0009146963129751384,1e-04,0.0010026738746091723,0.0012050142977386713,0.0008862612885423005,0.001920910901390016,0.0016029162798076868,0.0015151340048760176,0.0018039389979094267,0.001171681098639965
9,0.0004318772698752582,0.0006946589564904571,1e-04,0.0007306582992896438,0.000894192315172404,0.0007219083490781486,0.0020021835807710886,0.0016818270087242126,0.0017240116139873862,0.0019692995119839907,0.001031813328154385
10,0.0003403418813832104,0.0006157906609587371,1e-04,0.0006098819430917501,0.0007976469350978732,0.0007152915350161493,0.0019056785386055708,0.0017487956210970879,0.001629550359211862,0.0024221278727054596,0.0010378252482041717
